Name,Market Cap,Price
Apple,3 794,251.04
Microsoft,3 357,451.59
NVIDIA,3 232,132.0
Amazon,2 449,232.93
Alphabet (Google),2 414,198.16
Saudi Aramco,1 836,7.59
Meta Platforms (Facebook),1 575,624.24
Tesla,1 486,463.02
Broadcom,1 167,250.0
TSMC,1 048,202.22
Berkshire Hathaway,981.09,455.2
Walmart,762.12,94.87
Eli Lilly,700.56,779.0
JPMorgan Chase,674.49,239.58
Visa,611.71,315.89
Novo Nordisk,496.02,108.05
Mastercard,486.73,530.31
Oracle,478.92,171.23
Exxon Mobil,476.73,108.47
Tencent,474.47,51.8
UnitedHealth,458.76,498.5
Costco,440.77,992.87
Home Depot,407.98,410.71
Procter & Gamble,403.04,171.14
Netflix,393.72,921.08
Bank of America,348.88,45.47
Johnson & Johnson,346.33,143.85
Salesforce,341.86,357.23
LVMH,335.11,664.07
AbbVie,303.29,171.63
SAP,295.56,252.96
ICBC,290.37,0.63
ASML,284.03,722.38
Coca-Cola,269.45,62.55
T-Mobile US,266.29,229.47
Chevron,266.29,149.36
Kweichow Moutai,263.41,209.69
Samsung,257.48,38.67
Merck,253.11,100.06
Hermès,251.36,2387.0
International Holding Company,242.23,11043.0
Wells Fargo,239.65,71.98
Agricultural Bank of China,235.30,0.7
ServiceNow,233.12,1129.0
Cisco,232.39,58.35
Roche,230.33,286.81
Toyota,229.65,174.25
Accenture,223.11,357.06
Nestlé,214.24,83.32
Pepsico,214.05,156.02
American Express,213.84,303.57
McDonald,213.34,297.71
China Mobile,212.05,9.63
IBM,212.04,229.33
AstraZeneca,208.04,66.23
Morgan Stanley,207.87,129.03
Alibaba,206.08,86.06
AMD,205.59,126.69
Linde,203.93,428.3
China Construction Bank,203.52,1.16
Adobe,203.16,461.53
Walt Disney,203.02,112.11
Thermo Fisher Scientific,202.82,530.26
Reliance Industries,202.22,14.94
Philip Morris,195.81,125.94
Novartis,195.46,97.77
Abbott Laboratories,195.33,112.62
PetroChina,194.74,1.11
Bank of China,193.37,0.72
Intuitive Surgical,193.04,541.99
L'Oréal,192.66,359.39
Shell,190.67,62.15
Tata,188.22,52.02
Intuit,187.96,671.5
Prosus,184.89,42.31
Goldman Sachs,184.05,586.33
Caterpillar,182.94,378.92
General Electric,179.43,165.79
Royal Bank Of Canada,176.25,124.41
QUALCOMM,175.41,157.89
HSBC,174.83,48.63
Texas Instruments,172.82,189.46
Palantir,172.56,75.75
Verizon,172.08,40.88
Booking.com,170.51,5152.0
HDFC Bank,169.94,66.69
Danaher,169.14,234.18
Commonwealth Bank,169.12,101.15
BlackRock,164.89,1064.0
Inditex,164.60,26.41
AT&T,163.88,22.84
CATL,161.55,36.69
Raytheon Technologies,157.20,118.11
Deutsche Telekom,157.13,31.56
Siemens,156.82,200.23
Fomento Económico Mexicano,156.30,86.84
S&P Global,156.03,502.86
Honeywell,153.45,236.0
Arm Holdings,152.39,145.0
Shopify,150,115.94
